CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,YearsEmployed,InstallmentRate,PersonalStatus,OtherDebtors,ResidentSince,Property,Age,OtherPlans,Housing,NumCreditsAtBank,Job,Dependents,Telephone,Foreign,Approve
none,24.0,ok_til_now,business,4591.0,>=1000,<4,2.0,male_single,none,3.0,savings,54.0,none,own,3.0,management,1.0,yes,yes,bad
<200,48.0,ok,business,3844.0,<500,<7,4.0,male_single,none,4.0,unknown,34.0,none,free,1.0,unskilled,2.0,no,yes,bad
<200,27.0,ok_til_now,business,3915.0,<100,<4,4.0,male_single,none,2.0,car,36.0,none,own,1.0,skilled,2.0,yes,yes,bad
none,6.0,ok_til_now,television,2108.0,<100,<7,2.0,male_married,none,2.0,real_estate,29.0,none,rent,1.0,skilled,1.0,no,yes,good
<200,45.0,ok_til_now,television,3031.0,<500,<4,4.0,male_single,guarantor,4.0,savings,21.0,none,rent,1.0,skilled,1.0,no,yes,bad
<200,9.0,critical,education,1501.0,<100,>=7,2.0,female,none,3.0,car,34.0,none,own,2.0,management,1.0,yes,yes,bad
none,6.0,critical,television,1382.0,<100,<4,1.0,female,none,1.0,car,28.0,none,own,2.0,skilled,1.0,yes,yes,good
<200,12.0,ok_til_now,furniture,951.0,<500,<1,4.0,female,none,4.0,car,27.0,bank,rent,4.0,skilled,1.0,no,yes,bad
<200,24.0,ok_til_now,car_used,2760.0,unknown,>=7,4.0,male_single,none,4.0,unknown,36.0,bank,free,1.0,skilled,1.0,yes,yes,good
<200,18.0,past_delays,furniture,4297.0,<100,>=7,4.0,male_divorced,none,3.0,unknown,40.0,none,own,1.0,management,1.0,yes,yes,bad
none,9.0,critical,education,936.0,<1000,>=7,4.0,male_single,none,2.0,car,52.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,12.0,ok_til_now,car_new,1168.0,<100,<4,4.0,male_married,none,3.0,real_estate,27.0,none,own,1.0,unskilled,1.0,no,yes,good
none,27.0,past_delays,business,5117.0,<100,<7,3.0,male_single,none,4.0,car,26.0,none,own,2.0,skilled,1.0,no,yes,good
<0,12.0,ok_til_now,retraining,902.0,<100,<7,4.0,male_married,none,4.0,savings,21.0,none,rent,1.0,skilled,1.0,no,yes,bad
none,12.0,critical,car_new,1495.0,<100,>=7,4.0,male_single,none,1.0,real_estate,38.0,none,own,2.0,unskilled,2.0,no,yes,good
<0,30.0,critical,car_used,10623.0,<100,>=7,3.0,male_single,none,4.0,unknown,38.0,none,free,3.0,management,2.0,yes,yes,good
none,12.0,critical,furniture,1935.0,<100,>=7,4.0,male_single,none,4.0,real_estate,43.0,none,own,3.0,skilled,1.0,yes,yes,good
<200,12.0,critical,appliances,1424.0,<100,<7,4.0,male_single,none,3.0,savings,26.0,none,own,1.0,skilled,1.0,no,yes,good
<0,24.0,ok_til_now,business,6568.0,<100,<4,2.0,male_married,none,2.0,car,21.0,stores,own,1.0,unskilled,1.0,no,yes,good
none,12.0,ok_til_now,car_used,1413.0,>=1000,<7,3.0,male_single,none,2.0,savings,55.0,none,own,1.0,skilled,1.0,no,no,good
none,9.0,critical,television,3074.0,unknown,<4,1.0,male_single,none,2.0,real_estate,33.0,none,own,2.0,skilled,2.0,no,yes,good
none,36.0,ok_til_now,television,3835.0,unknown,>=7,2.0,female,none,4.0,real_estate,45.0,none,own,1.0,unskilled,1.0,yes,yes,good
<0,27.0,ok,business,5293.0,<100,unemployed,2.0,male_single,none,4.0,savings,50.0,stores,own,2.0,skilled,1.0,yes,yes,bad
>=200,30.0,past_delays,business,1908.0,<100,>=7,4.0,male_single,none,4.0,real_estate,66.0,none,own,1.0,management,1.0,yes,yes,bad
none,36.0,critical,television,3342.0,unknown,>=7,4.0,male_single,none,2.0,car,51.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,6.0,critical,retraining,932.0,unknown,<7,1.0,female,none,3.0,savings,39.0,none,own,2.0,unskilled,1.0,no,yes,good
<0,18.0,ok,business,3104.0,<100,<7,3.0,male_single,none,1.0,savings,31.0,bank,own,1.0,skilled,1.0,yes,yes,good
>=200,36.0,ok_til_now,television,3913.0,<100,<4,2.0,male_single,none,2.0,real_estate,23.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,ok_til_now,furniture,3021.0,<100,<4,2.0,male_divorced,none,2.0,real_estate,24.0,none,rent,1.0,unskilled,1.0,no,yes,good
none,10.0,ok_til_now,car_new,1364.0,<100,<4,2.0,female,none,4.0,car,64.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,12.0,ok_til_now,television,625.0,<100,<1,4.0,male_married,guarantor,1.0,real_estate,26.0,bank,own,1.0,unskilled,1.0,no,yes,good
<0,12.0,ok_til_now,education,1200.0,unknown,<4,4.0,female,none,4.0,savings,23.0,bank,rent,1.0,skilled,1.0,yes,yes,good
none,12.0,ok_til_now,television,707.0,<100,<4,4.0,male_single,none,2.0,real_estate,30.0,bank,own,2.0,skilled,1.0,no,yes,good
none,24.0,past_delays,business,2978.0,unknown,<4,4.0,male_single,none,4.0,real_estate,32.0,none,own,2.0,skilled,2.0,yes,yes,good
none,15.0,ok_til_now,car_used,4657.0,<100,<4,3.0,male_single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,yes,yes,good
none,36.0,ok,repairs,2613.0,<100,<4,4.0,male_single,none,2.0,car,27.0,none,own,2.0,skilled,1.0,no,yes,good
<200,48.0,ok_til_now,television,10961.0,>=1000,<7,1.0,male_single,co,2.0,unknown,27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
<0,12.0,ok_til_now,furniture,7865.0,<100,>=7,4.0,male_single,none,4.0,unknown,53.0,none,free,1.0,management,1.0,yes,yes,bad
none,9.0,ok_til_now,television,1478.0,<100,<7,4.0,male_single,none,2.0,car,22.0,none,own,1.0,skilled,1.0,no,yes,bad
<0,24.0,ok_til_now,furniture,3149.0,<100,<1,4.0,male_single,none,1.0,unknown,22.0,bank,free,1.0,skilled,1.0,no,yes,good
>=200,36.0,ok_til_now,television,4210.0,<100,<4,4.0,male_single,none,2.0,car,26.0,none,own,1.0,skilled,1.0,no,yes,bad
none,9.0,ok_til_now,car_new,2507.0,<1000,>=7,2.0,male_single,none,4.0,unknown,51.0,none,free,1.0,unskilled,1.0,no,yes,good
none,12.0,ok_til_now,television,2141.0,<500,<7,3.0,male_single,none,1.0,unknown,35.0,none,own,1.0,skilled,1.0,no,yes,good
<200,18.0,ok_til_now,television,866.0,<100,<4,4.0,male_married,guarantor,2.0,real_estate,25.0,none,own,1.0,unskilled,1.0,no,yes,good
none,4.0,critical,television,1544.0,<100,<7,2.0,male_single,none,1.0,real_estate,42.0,none,own,3.0,unskilled,2.0,no,yes,good
<0,24.0,ok_til_now,television,1823.0,<100,unemployed,4.0,male_single,none,2.0,car,30.0,stores,own,1.0,management,2.0,no,yes,bad
<200,6.0,ok_til_now,car_new,14555.0,unknown,unemployed,1.0,male_single,none,2.0,savings,23.0,none,own,1.0,unemployed,1.0,yes,yes,bad
<200,21.0,ok_til_now,business,2767.0,<500,>=7,4.0,male_divorced,none,2.0,car,61.0,bank,rent,2.0,unskilled,1.0,no,yes,bad
none,12.0,critical,television,1291.0,<100,<4,4.0,female,none,2.0,savings,35.0,none,own,2.0,skilled,1.0,no,yes,good
<0,30.0,ok_til_now,television,2522.0,<100,>=7,1.0,male_single,guarantor,3.0,savings,39.0,none,own,1.0,skilled,2.0,no,yes,good
<0,24.0,ok_til_now,car_new,915.0,unknown,>=7,4.0,female,none,2.0,car,29.0,bank,own,1.0,skilled,1.0,no,yes,bad
none,6.0,ok_til_now,television,1595.0,<100,<7,3.0,male_single,none,2.0,savings,51.0,none,own,1.0,skilled,2.0,no,yes,good
<0,48.0,ok,car_used,4605.0,<100,>=7,3.0,male_single,none,4.0,unknown,24.0,none,free,2.0,skilled,2.0,no,yes,bad
none,12.0,critical,business,1185.0,<100,<4,3.0,female,none,2.0,real_estate,27.0,none,own,2.0,skilled,1.0,no,yes,good
none,12.0,ok_at_this_bank,retraining,3447.0,<1000,<4,4.0,female,none,3.0,real_estate,35.0,none,own,1.0,unskilled,2.0,no,yes,good
none,24.0,ok_til_now,business,1258.0,<100,<7,4.0,male_single,none,1.0,real_estate,25.0,none,own,1.0,skilled,1.0,yes,yes,good
none,12.0,critical,television,717.0,<100,>=7,4.0,male_single,none,4.0,real_estate,52.0,none,own,3.0,skilled,1.0,no,yes,good
none,6.0,ok,car_new,1204.0,<500,<4,4.0,male_single,none,1.0,unknown,35.0,bank,rent,1.0,skilled,1.0,no,no,good
>=200,24.0,ok_til_now,furniture,1925.0,<100,<4,2.0,male_single,none,2.0,real_estate,26.0,none,own,1.0,skilled,1.0,no,yes,good
none,18.0,ok_til_now,television,433.0,<100,unemployed,3.0,female,co,4.0,real_estate,22.0,none,rent,1.0,skilled,1.0,no,yes,bad
<0,6.0,critical,car_new,666.0,>=1000,<7,3.0,female,none,4.0,real_estate,39.0,none,own,2.0,unskilled,1.0,yes,yes,good
>=200,12.0,ok_til_now,furniture,2251.0,<100,<4,1.0,female,none,2.0,car,46.0,none,own,1.0,unskilled,1.0,no,yes,good
<200,30.0,ok_til_now,car_new,2150.0,<100,<4,4.0,female,guarantor,2.0,unknown,24.0,bank,own,1.0,skilled,1.0,no,yes,bad
none,24.0,past_delays,furniture,4151.0,<500,<4,2.0,male_single,none,3.0,savings,35.0,none,own,2.0,skilled,1.0,no,yes,good
<200,9.0,ok_til_now,furniture,2030.0,unknown,<7,2.0,male_single,none,1.0,car,24.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,60.0,past_delays,television,7418.0,unknown,<4,1.0,male_single,none,1.0,real_estate,27.0,none,own,1.0,unskilled,1.0,no,yes,good
none,24.0,critical,television,2684.0,<100,<4,4.0,male_single,none,2.0,real_estate,35.0,none,own,2.0,unskilled,1.0,no,yes,good
<0,12.0,ok_at_this_bank,television,2149.0,<100,<4,4.0,male_divorced,none,1.0,unknown,29.0,none,free,1.0,skilled,1.0,no,yes,bad
none,15.0,ok_til_now,car_used,3812.0,<500,<1,1.0,female,none,4.0,car,23.0,none,own,1.0,skilled,1.0,yes,yes,good
none,11.0,critical,television,1154.0,<500,unemployed,4.0,female,none,4.0,real_estate,57.0,none,own,3.0,unskilled,1.0,no,yes,good
<0,12.0,ok_til_now,furniture,1657.0,<100,<4,2.0,male_single,none,2.0,real_estate,27.0,none,own,1.0,skilled,1.0,no,yes,good
<0,24.0,ok_til_now,television,1603.0,<100,>=7,4.0,female,none,4.0,car,55.0,none,own,1.0,skilled,1.0,no,yes,good
<0,18.0,critical,car_new,5302.0,<100,>=7,2.0,male_single,none,4.0,unknown,36.0,none,free,3.0,management,1.0,yes,yes,good
none,12.0,critical,education,2748.0,<100,>=7,2.0,female,none,4.0,unknown,57.0,bank,free,3.0,unskilled,1.0,no,yes,good
none,10.0,critical,car_new,1231.0,<100,>=7,3.0,male_single,none,4.0,real_estate,32.0,none,own,2.0,unskilled,2.0,no,no,good
<200,15.0,ok_til_now,television,802.0,<100,>=7,4.0,male_single,none,3.0,car,37.0,none,own,1.0,skilled,2.0,no,yes,bad
none,36.0,critical,business,6304.0,unknown,>=7,4.0,male_single,none,4.0,real_estate,36.0,none,own,2.0,skilled,1.0,no,yes,good
none,24.0,ok_til_now,television,1533.0,<100,<1,4.0,female,none,3.0,car,38.0,stores,own,1.0,skilled,1.0,yes,yes,good
<0,14.0,ok_til_now,car_new,8978.0,<100,>=7,1.0,male_divorced,none,4.0,savings,45.0,none,own,1.0,management,1.0,yes,no,bad
none,24.0,ok_til_now,television,999.0,unknown,>=7,4.0,male_single,none,2.0,car,25.0,none,own,2.0,skilled,1.0,no,yes,good
none,18.0,ok_til_now,car_new,2662.0,unknown,<7,4.0,male_single,none,3.0,savings,32.0,none,own,1.0,skilled,1.0,no,no,good
none,12.0,critical,furniture,1402.0,<1000,<7,3.0,female,none,4.0,car,37.0,none,rent,1.0,skilled,1.0,yes,yes,good
<200,48.0,ok_at_this_bank,car_new,12169.0,unknown,unemployed,4.0,male_single,co,4.0,unknown,36.0,none,free,1.0,management,1.0,yes,yes,good
<200,48.0,ok_til_now,television,3060.0,<100,<7,4.0,male_single,none,4.0,real_estate,28.0,none,own,2.0,skilled,1.0,no,yes,bad
<0,30.0,ok_til_now,repairs,11998.0,<100,<1,1.0,male_divorced,none,1.0,unknown,34.0,none,own,1.0,unskilled,1.0,yes,yes,bad
none,9.0,ok_til_now,television,2697.0,<100,<4,1.0,male_single,none,2.0,real_estate,32.0,none,own,1.0,skilled,2.0,no,yes,good
none,18.0,critical,television,2404.0,<100,<4,2.0,female,none,2.0,car,26.0,none,own,2.0,skilled,1.0,no,yes,good
<0,12.0,ok_til_now,furniture,1262.0,unknown,>=7,2.0,male_divorced,none,4.0,savings,49.0,none,own,1.0,unskilled,1.0,yes,yes,good
none,6.0,ok_til_now,furniture,4611.0,<100,<1,1.0,female,none,4.0,savings,32.0,none,own,1.0,skilled,1.0,no,yes,bad
none,24.0,ok_til_now,television,1901.0,<500,<4,4.0,male_single,none,4.0,car,29.0,none,rent,1.0,management,1.0,yes,yes,good
none,15.0,critical,car_used,3368.0,>=1000,>=7,3.0,male_single,none,4.0,unknown,23.0,none,rent,2.0,skilled,1.0,yes,yes,good
none,12.0,ok_til_now,furniture,1574.0,<100,<4,4.0,male_single,none,2.0,real_estate,50.0,none,own,1.0,skilled,1.0,no,yes,good
>=200,18.0,ok_at_this_bank,television,1445.0,unknown,<7,4.0,male_single,none,4.0,car,49.0,bank,own,1.0,unskilled,1.0,no,yes,good
none,15.0,critical,furniture,1520.0,unknown,>=7,4.0,male_single,none,4.0,savings,63.0,none,own,1.0,skilled,1.0,no,yes,good
<200,24.0,critical,car_new,3878.0,<500,<1,4.0,male_divorced,none,2.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,47.0,ok_til_now,car_new,10722.0,<100,<1,1.0,female,none,1.0,real_estate,35.0,none,own,1.0,unskilled,1.0,yes,yes,good
<0,48.0,ok_til_now,car_used,4788.0,<100,<7,4.0,male_single,none,3.0,savings,26.0,none,own,1.0,skilled,2.0,no,yes,good
<200,48.0,past_delays,others,7582.0,<500,unemployed,2.0,male_single,none,4.0,unknown,31.0,none,free,1.0,management,1.0,yes,yes,good
<200,12.0,ok_til_now,television,1092.0,<100,<4,4.0,female,guarantor,4.0,real_estate,49.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,24.0,past_delays,television,1024.0,<100,<1,4.0,male_married,none,4.0,real_estate,48.0,stores,own,1.0,skilled,1.0,no,yes,bad
none,12.0,ok_til_now,business,1076.0,<100,<4,2.0,male_married,none,2.0,real_estate,26.0,none,own,1.0,skilled,1.0,yes,no,good
<200,36.0,ok_til_now,car_used,9398.0,<100,<1,1.0,male_married,none,4.0,car,28.0,none,rent,1.0,management,1.0,yes,yes,bad
<0,24.0,critical,car_used,6419.0,<100,>=7,2.0,female,none,4.0,unknown,44.0,none,free,2.0,management,2.0,yes,yes,good
>=200,42.0,critical,car_used,4796.0,<100,>=7,4.0,male_single,none,4.0,unknown,56.0,none,free,1.0,skilled,1.0,no,yes,good
none,48.0,critical,business,7629.0,unknown,>=7,4.0,male_divorced,none,2.0,car,46.0,bank,own,2.0,management,2.0,no,yes,good
<200,48.0,ok_til_now,furniture,9960.0,<100,<1,1.0,female,none,2.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,bad
none,12.0,ok_til_now,car_used,4675.0,unknown,<1,1.0,female,none,4.0,car,20.0,none,rent,1.0,skilled,1.0,no,yes,good
none,10.0,ok_til_now,car_new,1287.0,unknown,>=7,4.0,male_single,co,2.0,savings,45.0,none,own,1.0,unskilled,1.0,no,no,good
none,18.0,ok_til_now,furniture,2515.0,<100,<4,3.0,male_single,none,4.0,real_estate,43.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,21.0,critical,furniture,2745.0,>=1000,<7,3.0,male_single,none,2.0,car,32.0,none,own,2.0,skilled,1.0,yes,yes,good
none,6.0,ok_til_now,car_new,672.0,<100,unemployed,1.0,female,none,4.0,real_estate,54.0,none,own,1.0,unemployed,1.0,yes,yes,good
<200,36.0,ok,television,3804.0,<100,<4,4.0,female,none,1.0,car,42.0,none,own,1.0,skilled,1.0,yes,yes,bad
>=200,24.0,critical,car_new,1344.0,unknown,<7,4.0,male_single,none,2.0,real_estate,37.0,bank,own,2.0,unskilled,2.0,no,yes,bad
<0,10.0,critical,car_new,1038.0,<100,<7,4.0,male_single,co,3.0,savings,49.0,none,own,2.0,skilled,1.0,yes,yes,good
none,48.0,critical,car_new,10127.0,<1000,<4,2.0,male_single,none,2.0,unknown,44.0,bank,free,1.0,skilled,1.0,no,yes,bad
none,6.0,ok_til_now,furniture,1543.0,>=1000,<4,4.0,male_divorced,none,2.0,real_estate,33.0,none,own,1.0,skilled,1.0,no,yes,good
none,30.0,ok_til_now,car_used,4811.0,unknown,<7,2.0,female,none,4.0,savings,24.0,stores,rent,1.0,unskilled,1.0,no,yes,good
<0,12.0,ok_til_now,television,727.0,<500,<1,4.0,male_married,none,3.0,unknown,33.0,none,own,1.0,unskilled,1.0,yes,yes,bad
<200,8.0,ok_til_now,furniture,1237.0,<100,<4,3.0,female,none,4.0,real_estate,24.0,none,own,1.0,skilled,1.0,no,yes,bad
<200,9.0,ok_til_now,car_new,276.0,<100,<4,4.0,male_married,none,4.0,real_estate,22.0,none,rent,1.0,unskilled,1.0,no,yes,good
<200,48.0,ok_til_now,others,5381.0,unknown,unemployed,3.0,male_single,none,4.0,unknown,40.0,bank,free,1.0,unemployed,1.0,yes,yes,good
none,24.0,ok_til_now,furniture,5511.0,<500,<4,4.0,male_single,none,1.0,car,25.0,stores,own,1.0,skilled,1.0,no,yes,good
>=200,24.0,ok_til_now,furniture,3749.0,<100,<1,2.0,female,none,4.0,car,26.0,none,own,1.0,skilled,1.0,no,yes,good
<200,12.0,ok_til_now,car_new,685.0,<100,<7,2.0,male_married,none,3.0,car,25.0,bank,own,1.0,unskilled,1.0,no,yes,bad
>=200,4.0,ok_til_now,car_new,1494.0,unknown,<1,1.0,male_single,none,2.0,real_estate,29.0,none,own,1.0,unskilled,2.0,no,no,good
<0,36.0,ok_at_this_bank,furniture,2746.0,<100,>=7,4.0,male_single,none,4.0,car,31.0,bank,own,1.0,skilled,1.0,no,yes,bad
<0,12.0,ok_til_now,furniture,708.0,<100,<4,2.0,male_single,guarantor,3.0,savings,38.0,none,own,1.0,unskilled,2.0,no,yes,good
<200,24.0,ok_til_now,furniture,4351.0,unknown,<4,1.0,female,none,4.0,savings,48.0,none,own,1.0,unskilled,1.0,yes,yes,good
none,12.0,critical,education,701.0,<100,<4,4.0,male_single,none,2.0,car,32.0,none,own,2.0,skilled,1.0,no,yes,good
<0,15.0,past_delays,furniture,3643.0,<100,>=7,1.0,female,none,4.0,savings,27.0,none,own,2.0,unskilled,1.0,no,yes,good
<200,30.0,critical,car_new,4249.0,<100,unemployed,4.0,male_married,none,2.0,car,28.0,none,own,2.0,management,1.0,no,yes,bad
<0,24.0,ok_til_now,television,1938.0,<100,<1,4.0,male_divorced,none,3.0,savings,32.0,none,own,1.0,skilled,1.0,no,yes,bad
<0,24.0,ok_til_now,car_used,2910.0,<100,<7,2.0,male_single,none,1.0,unknown,34.0,none,free,1.0,management,1.0,yes,yes,good
<0,18.0,ok_til_now,furniture,2659.0,>=1000,<4,4.0,male_single,none,2.0,car,28.0,none,own,1.0,skilled,1.0,no,yes,good
none,18.0,critical,car_new,1028.0,<100,<4,4.0,female,none,3.0,real_estate,36.0,none,own,2.0,skilled,1.0,no,yes,good
<0,8.0,critical,car_new,3398.0,<100,<7,1.0,male_single,none,4.0,real_estate,39.0,none,own,2.0,unskilled,1.0,no,no,good
none,12.0,critical,furniture,5801.0,unknown,>=7,2.0,male_single,none,4.0,savings,49.0,none,rent,1.0,skilled,1.0,yes,yes,good
none,24.0,ok_til_now,car_new,1525.0,>=1000,<7,4.0,female,none,3.0,car,34.0,none,own,1.0,skilled,2.0,yes,yes,good
>=200,36.0,ok_til_now,television,4473.0,<100,>=7,4.0,male_single,none,2.0,car,31.0,none,own,1.0,skilled,1.0,no,yes,good
<200,6.0,ok_til_now,television,1068.0,<100,>=7,4.0,male_single,none,4.0,car,28.0,none,own,1.0,skilled,2.0,no,yes,good
<0,24.0,critical,car_used,6615.0,<100,unemployed,2.0,male_single,none,4.0,unknown,75.0,none,free,2.0,management,1.0,yes,yes,good
none,18.0,critical,education,1864.0,<500,<4,4.0,female,none,2.0,real_estate,30.0,none,own,2.0,skilled,1.0,no,yes,bad
<200,60.0,ok_til_now,car_new,7408.0,<500,<1,4.0,female,none,2.0,savings,24.0,none,own,1.0,management,1.0,no,yes,bad
none,48.0,critical,car_used,11590.0,<500,<4,2.0,female,none,4.0,car,24.0,bank,rent,2.0,unskilled,1.0,no,yes,bad
<0,24.0,ok,furniture,4110.0,<100,>=7,3.0,male_single,none,4.0,unknown,23.0,bank,rent,2.0,skilled,2.0,no,yes,bad
<0,6.0,critical,furniture,3384.0,<100,<4,1.0,male_divorced,none,4.0,real_estate,44.0,none,rent,1.0,management,1.0,yes,yes,bad
<200,13.0,ok_til_now,television,2101.0,<100,<1,2.0,female,guarantor,4.0,savings,23.0,none,own,1.0,unskilled,1.0,no,yes,good
<0,15.0,ok_til_now,appliances,1275.0,unknown,<4,4.0,female,none,2.0,car,24.0,none,rent,1.0,skilled,1.0,no,yes,bad
<0,24.0,ok_til_now,furniture,4169.0,<100,<4,4.0,male_single,none,4.0,savings,28.0,none,own,1.0,skilled,1.0,no,yes,good
<200,10.0,ok_til_now,furniture,1521.0,<100,<4,4.0,male_divorced,none,2.0,car,31.0,none,own,1.0,unskilled,1.0,no,yes,good
<200,24.0,critical,education,5743.0,<100,<1,2.0,female,none,4.0,unknown,24.0,none,free,2.0,skilled,1.0,yes,yes,good
<0,21.0,ok_til_now,furniture,3599.0,<100,<7,1.0,female,none,4.0,car,26.0,none,rent,1.0,unskilled,1.0,no,yes,good
<200,18.0,ok_til_now,television,3213.0,<1000,<1,1.0,male_married,none,3.0,real_estate,25.0,none,rent,1.0,skilled,1.0,no,yes,good
<200,18.0,ok_til_now,business,4439.0,<100,>=7,1.0,male_single,co,1.0,real_estate,33.0,bank,own,1.0,management,1.0,yes,yes,good
>=200,10.0,ok_til_now,car_new,3949.0,<100,<1,1.0,male_single,guarantor,1.0,savings,37.0,none,own,1.0,unskilled,2.0,no,yes,good
none,15.0,critical,television,1459.0,<100,<4,4.0,female,none,2.0,car,43.0,none,own,1.0,unskilled,1.0,no,yes,good
<200,13.0,critical,television,882.0,<100,<1,4.0,male_single,guarantor,4.0,real_estate,23.0,none,own,2.0,skilled,1.0,no,yes,good
<200,24.0,ok_til_now,television,3758.0,<1000,unemployed,1.0,female,none,4.0,unknown,23.0,none,rent,1.0,unemployed,1.0,no,yes,good
none,6.0,past_delays,business,1743.0,<500,<4,1.0,male_single,none,2.0,real_estate,34.0,none,own,2.0,unskilled,1.0,no,yes,good
<200,9.0,critical,education,1136.0,>=1000,>=7,4.0,male_single,none,3.0,unknown,32.0,none,free,2.0,skilled,2.0,no,yes,bad
none,9.0,ok_til_now,appliances,1236.0,<100,<1,1.0,female,none,4.0,real_estate,23.0,none,rent,1.0,skilled,1.0,yes,yes,good
<200,9.0,ok_til_now,furniture,959.0,<100,<4,1.0,female,none,2.0,car,29.0,none,own,1.0,skilled,1.0,no,no,bad
none,18.0,critical,car_used,3229.0,unknown,unemployed,2.0,male_single,none,4.0,unknown,38.0,none,own,1.0,management,1.0,yes,yes,good
<0,12.0,ok,television,6199.0,<100,<4,4.0,male_single,none,2.0,savings,28.0,none,rent,2.0,skilled,1.0,yes,yes,bad
none,10.0,ok_til_now,education,727.0,<1000,>=7,4.0,male_single,none,4.0,unknown,46.0,none,free,1.0,skilled,1.0,yes,yes,good
<200,24.0,ok_til_now,car_new,1246.0,<100,<1,4.0,male_single,none,2.0,real_estate,23.0,stores,own,1.0,unskilled,1.0,no,yes,bad
none,12.0,critical,television,2331.0,unknown,>=7,1.0,male_single,co,4.0,real_estate,49.0,none,own,1.0,skilled,1.0,yes,yes,good
none,36.0,past_delays,television,4463.0,<100,<4,4.0,male_single,none,2.0,car,26.0,none,own,2.0,management,1.0,yes,yes,bad
none,12.0,ok_til_now,television,776.0,<100,<4,4.0,male_married,none,2.0,real_estate,28.0,none,own,1.0,skilled,1.0,no,yes,good
<0,30.0,ok_til_now,furniture,2406.0,<100,<7,4.0,female,none,4.0,real_estate,23.0,none,rent,1.0,skilled,1.0,no,yes,bad
<200,18.0,ok_til_now,education,1239.0,unknown,<4,4.0,male_single,none,4.0,unknown,61.0,none,free,1.0,skilled,1.0,no,yes,good
>=200,12.0,ok_til_now,television,3399.0,unknown,>=7,2.0,male_single,none,3.0,car,37.0,none,own,1.0,management,1.0,no,yes,good
>=200,12.0,past_delays,car_new,2247.0,<100,<4,2.0,female,none,2.0,car,36.0,stores,own,2.0,skilled,1.0,yes,yes,good
none,6.0,ok_til_now,furniture,1766.0,<100,<4,1.0,male_married,none,2.0,savings,21.0,none,rent,1.0,skilled,1.0,no,yes,good
<0,18.0,ok_til_now,furniture,2473.0,<100,unemployed,4.0,male_single,none,1.0,car,25.0,none,own,1.0,unemployed,1.0,no,yes,bad
none,12.0,ok_til_now,business,1542.0,<100,<7,2.0,male_single,none,4.0,car,36.0,none,own,1.0,skilled,1.0,yes,yes,good
none,18.0,critical,car_used,3850.0,<100,<7,3.0,male_single,none,1.0,car,27.0,none,own,2.0,skilled,1.0,no,yes,good
<0,18.0,ok_til_now,furniture,3650.0,<100,<1,1.0,female,none,4.0,car,22.0,none,rent,1.0,skilled,1.0,no,yes,good
<0,36.0,ok_til_now,furniture,3446.0,<100,>=7,4.0,male_single,none,2.0,car,42.0,none,own,1.0,skilled,2.0,no,yes,bad
<200,18.0,ok_til_now,furniture,3001.0,<100,<7,2.0,female,none,4.0,real_estate,40.0,none,rent,1.0,skilled,1.0,no,yes,good
none,36.0,ok_til_now,car_new,3079.0,unknown,<4,4.0,male_single,none,4.0,real_estate,36.0,none,own,1.0,skilled,1.0,no,yes,good
none,18.0,critical,television,6070.0,<100,>=7,3.0,male_single,none,4.0,car,33.0,none,own,2.0,skilled,1.0,yes,yes,good
none,10.0,critical,furniture,2146.0,<100,<1,1.0,female,none,3.0,real_estate,23.0,none,rent,2.0,skilled,1.0,no,yes,good
none,60.0,critical,car_new,13756.0,unknown,>=7,2.0,male_single,none,4.0,unknown,63.0,bank,free,1.0,management,1.0,yes,yes,good
<200,60.0,ok_at_this_bank,others,14782.0,<500,>=7,3.0,female,none,4.0,unknown,60.0,bank,free,2.0,management,1.0,yes,yes,bad
<0,48.0,ok_at_this_bank,business,7685.0,<100,<7,2.0,female,guarantor,4.0,car,37.0,none,rent,1.0,skilled,1.0,no,yes,bad
none,18.0,past_delays,television,2320.0,<100,unemployed,2.0,male_married,none,3.0,real_estate,34.0,none,own,2.0,skilled,1.0,no,yes,good
none,7.0,past_delays,television,846.0,unknown,>=7,3.0,male_single,none,4.0,unknown,36.0,none,free,1.0,skilled,1.0,no,yes,good
<200,36.0,ok_til_now,car_new,14318.0,<100,>=7,4.0,male_single,none,2.0,unknown,57.0,none,free,1.0,management,1.0,yes,yes,bad
none,6.0,critical,car_new,362.0,<500,<4,4.0,female,none,4.0,car,52.0,none,own,2.0,unskilled,1.0,no,yes,good
<0,20.0,ok_til_now,furniture,2212.0,unknown,<7,4.0,male_single,none,4.0,car,39.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,18.0,ok_til_now,car_used,12976.0,<100,unemployed,3.0,female,none,4.0,unknown,38.0,none,free,1.0,management,1.0,yes,yes,bad
