normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,engine-power,peak-rpm,city-mpg,highway-mpg,symboling,mean-effective-pressure,torque,price
74.0,toyota,gas,std,4,hatchback,fwd,front,93.1,163.4,66.5,53.7,ohc,4,11.47,mpfi,3.31,3.54,8.7,92000.0,4200.0,31.0,32.0,-1,67.79,35.61,9988.0
65.0,toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,4,11.47,mpfi,3.31,3.54,8.7,92000.0,4200.0,27.0,32.0,-1,4.38,551.75,10898.0
65.0,toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,4,11.47,mpfi,3.31,3.54,8.7,92000.0,4200.0,27.0,32.0,-1,97.39,25.24,11248.0
110.0,toyota,gas,std,2,hatchback,rwd,front,88.4,173.2,66.4,52.0,dohc,6,30.57,mpfi,3.94,2.64,9.3,156000.0,4250.0,31.0,24.0,3,0.95,3132.33,16558.0
197.0,toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,dohc,6,30.57,mpfi,3.27,3.35,9.3,161000.0,6600.0,19.0,24.0,3,62.44,48.3,15998.0
90.0,toyota,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,dohc,6,30.57,mpfi,3.27,3.35,9.2,156000.0,5200.0,20.0,24.0,-1,12.59,248.78,15690.0
122.0,volkswagen,diesel,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,6.96,idi,3.01,3.4,23.0,200000.0,4800.0,37.0,29.0,2,57.53,39.3,7775.0
122.0,volkswagen,gas,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,8.85,mpfi,3.19,3.4,9.0,85000.0,5250.0,27.0,34.0,2,44.37,49.79,7975.0
94.0,volkswagen,diesel,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,6.96,idi,3.01,3.4,23.0,52000.0,4800.0,37.0,46.0,2,8.21,275.85,7995.0
94.0,volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,8.85,mpfi,3.19,3.4,9.0,85000.0,5250.0,27.0,34.0,2,33.79,65.46,8195.0
256.0,volkswagen,gas,std,4,sedan,fwd,front,115.6,150.0,63.6,54.9,ohc,4,8.85,mpfi,3.19,3.4,9.0,60000.0,5250.0,27.0,34.0,2,60.72,37.46,8495.0
83.0,volkswagen,diesel,turbo,4,sedan,fwd,front,93.7,172.4,67.2,55.5,ohc,4,6.96,idi,3.19,2.8,9.41,116000.0,4500.0,35.0,38.0,2,63.23,36.68,9495.0
94.0,volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,8.85,mpfi,3.19,3.4,8.6,100000.0,5500.0,26.0,32.0,2,54.41,42.27,9995.0
256.0,volkswagen,gas,std,2,hatchback,fwd,front,104.5,165.7,63.6,51.4,ohc,4,8.85,mpfi,2.97,2.64,9.1,90000.0,5300.0,27.0,33.0,3,2.31,960.49,9980.0
90.0,volvo,gas,std,4,sedan,rwd,front,113.0,173.5,66.2,56.2,ohc,4,16.78,mpfi,3.24,4.17,8.8,68000.0,5400.0,20.0,19.0,-2,75.27,38.69,12940.0
74.0,volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,4,16.78,mpfi,3.78,3.15,9.5,114000.0,5400.0,23.0,28.0,-1,29.16,104.04,13415.0
125.0,volvo,gas,std,4,sedan,rwd,front,94.5,171.7,66.5,54.5,ohc,4,16.78,mpfi,3.34,2.07,9.2,110000.0,6600.0,24.0,54.0,-2,9.58,306.48,15985.0
74.0,volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,50.8,ohc,4,16.78,mpfi,3.78,3.15,9.5,114000.0,5400.0,24.0,28.0,-1,47.2,64.45,16515.0
103.0,volvo,gas,turbo,4,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,4,13.46,mpfi,3.62,3.15,7.5,116000.0,5100.0,49.0,24.0,-2,2.13,1428.25,18420.0
74.0,volvo,gas,turbo,4,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,4,13.46,mpfi,3.62,3.15,7.5,162000.0,5100.0,17.0,22.0,-1,69.57,45.38,18950.0
95.0,volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,4,16.78,mpfi,3.78,3.15,9.5,114000.0,5400.0,23.0,28.0,-1,78.93,37.4,16845.0
95.0,volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.8,55.5,ohc,4,16.78,mpfi,3.78,3.15,8.7,160000.0,5300.0,19.0,25.0,-1,3.12,978.11,19045.0
137.0,volvo,gas,std,4,sedan,rwd,front,93.3,180.3,65.4,53.3,ohcv,6,31.82,mpfi,3.5,2.87,8.8,134000.0,4250.0,24.0,29.0,-1,32.54,92.57,21485.0
95.0,volvo,diesel,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,6,18.17,idi,3.01,3.4,23.0,106000.0,4800.0,26.0,27.0,-1,50.1,64.21,22470.0
94.0,volvo,gas,turbo,4,sedan,rwd,front,108.0,188.8,68.9,55.5,ohc,4,16.78,mpfi,3.78,3.15,7.7,114000.0,5400.0,19.0,25.0,-1,9.7,315.83,22625.0
